NUMBER;CLAS_SIFICATION;DATE_CASE;REF;NOT_COUNTRY;SUBJET;PROD_CAT;TYPE;RISK_DECISION;ACTION_TAKEN;DISTRIBUTION_STAT;PRODUCT;HAZARDS;HAZARDS_CAT;ORIG_COUNTRY;DESTIN_COUNTRY;CONCERN_COUNTRY
"505;alert notification;2024-03-05;2024.158;Netherlands;Patuline in Multiple smoothies;fruits and vegetables;food;serious;Informing recipient(s);Distribution to other member countries;Multiple smoothies;patulin  ;Mycotoxins;Poland;Austria,Belgium,Bulgaria,Croatia,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Italy,Latvia,Lithuania,Luxembourg,Netherlands,Poland,Portugal,Romania,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland;Netherlands"
506;border rejection notification;2024-03-05;2024.1568;Latvia;Salmonella in bay leaves from Turkey;herbs and spices;food;serious;Destruction;No distribution from notifying country;Bay leaves;Salmonella  ;Pathogenic micro-organisms;Turkey;Latvia;Latvia
507;alert notification;2024-03-05;2024.1565;Czech Republic;Salmonella enteritidis in frozen chicken offal;poultry meat and poultry meat products;food;serious;Withdrawal from the market;Distribution to other member countries;Chicken liver and chicken stomach;Salmonella Enteritidis ;Pathogenic micro-organisms;Czech Republic;Slovakia;Czech Republic
508;information notification for attention;2024-03-05;2024.1563;Belgium;Norovirus in oysters from the Netherlands;bivalve molluscs and products thereof;food;potentially serious;Informing authorities;Product (presumably) no longer on the market;Oysters;norovirus  ;Pathogenic micro-organisms;Netherlands;Belgium;Belgium
509;border rejection notification;2024-03-05;2024.1556;Croatia;Chlorpyrifos in basmati rice from Pakistan;cereals and bakery products;food;potential risk;Destruction;Product allowed to travel to destination under customs seals;BASMATI RICE;chlorpyriphos-ethyl  ;Pesticide residues;Pakistan;Croatia;Croatia
"510;information notification for attention;2024-03-04;2024.1548;Poland;wykryto obecnoÅ›Ä‡ Salmonella enterica subsp. enterica gr. CO w 1 z 5 prÃ³bek  fileta z piersi kurczaka pochodzÄ…cego z Polski/the presence of Salmonella enterica subsp. was detected. enterica gr. CO in 1 of 5 samples of chicken breast fillet from Poland;poultry meat and poultry meat products;food;potentially serious;Withdrawal from the market;Product (presumably) no longer on the market;Filet z piersi kurczaka/chicken breast fillet;Salmonella  ;Pathogenic micro-organisms;Poland;Netherlands,Poland;Poland"
"511;information notification for follow-up;2024-03-04;2024.1544;Belgium;Salmonella Mbandaka in soy hulls;feed premixtures;feed;potential risk;Return to consignor;No distribution from notifying country;Soy hulls;Salmonella  Salmonella Mbandaka;Pathogenic micro-organisms;Netherlands;Belgium,Netherlands;Belgium"
"512;alert notification;2024-03-04;2024.1542;France;Escherichia coli (930 CFU/100g) in live mussels;bivalve molluscs and products thereof;food;serious;Withdrawal from recipient(s);Distribution to other member countries;Irish mussels;Escherichia coli  ;Pathogenic micro-organisms;Ireland;France,Italy,Spain;France"
513;information notification for attention;2024-03-04;2024.1541;France;non-compliant mercury levels in fish;fish and fish products;food;potentially serious;Informing authorities;Distribution to other member countries;Fish;mercury  ;Heavy metals;Senegal;Italy;France
514;information notification for attention;2024-03-04;2024.1519;Italy;Detection of swine DNA and undeclared allergens in steak flavoured chips from China via Hong Kong;prepared dishes and snacks;food;potentially serious;Official detention;Product not (yet) placed on the market;Patatine al gusto di bistecca/steak flavoured chips;import  illegal;Adulteration / fraud;China;Italy;Italy
"515;alert notification;2024-03-02;2024.151;Netherlands;Fragments metal wire in frozen chopped spinach from the Netherlands;fruits and vegetables;food;serious;Informing recipient(s);Distribution to other member countries;Frozen chopped spinach;fragments metal wire ;Foreign bodies;Netherlands;Austria,Belgium,Germany;Netherlands"
"516;information notification for follow-up;2024-03-02;2024.1508;Netherlands;Salmonella spp in chilled Beef from Uruguay via the Netherlands;meat and meat products (other than poultry);food;potentially serious;Informing recipient(s);Distribution to other member countries;Beef;Salmonella spp  ;Pathogenic micro-organisms;Uruguay;Austria,Belgium,Denmark,France,Germany,Italy,Netherlands,Poland,Portugal,Spain,Sweden;Netherlands"
517;information notification for follow-up;2024-03-01;2024.1507;Lithuania;Salmonella (2 out of 5 samples) in fishmeal from Denmark;feed materials;feed;not serious;Prohibition to trade - sales ban;No distribution from notifying country;Fishmeal;Salmonella  ;Pathogenic micro-organisms;Denmark;Lithuania;Lithuania
"518;information notification for attention;2024-03-01;2024.1504;Germany;Salmonella ssp. in walnut kernels (raw material) from the United States;nuts, nut products and seeds;food;serious;Informing authorities;Product not (yet) placed on the market;Walnut kernels (raw material);Salmonella  ;Pathogenic micro-organisms;United States;Germany;Germany"
"519;alert notification;2024-03-01;2024.15;Germany;Ochratoxin A in organic sultanas from Turkey;fruits and vegetables;food;serious;Withdrawal from recipient(s);Distribution to other member countries;Organic sultanas;ochratoxin A  ;Mycotoxins;Turkey;Germany,Luxembourg,Netherlands;Germany"
"520;information notification for follow-up;2024-03-01;2024.1497;Germany;Chlorpyrifos in vine leaves from Greece;fruits and vegetables;food;potential risk;No stock left;Distribution to other member countries;Vine leaves;chlorpyrifos  ;Pesticide residues;Greece;Germany,Greece,Netherlands,Romania;Germany"
521;information notification for attention;2024-03-01;2024.1493;Croatia;Natural mineral water - organoleptic changes;water for human consumption (other);food;not serious; Informing authorities;No distribution from notifying country;Natural mineral water;abnormal smell  ;Organoleptic aspects;Slovenia;Croatia;Croatia
"522;information notification for attention;2024-03-01;2024.1485;Germany;Cadmium in avocado from the Dominican Republic, via the Netherlands;fruits and vegetables;food;serious;No stock left;Product (presumably) no longer on the market;Avocado;cadmium  ;Heavy metals;Dominican Republic;Germany;Germany"
523;information notification for follow-up;2024-03-01;2024.1483;Italy;Dimetoato in arance;fruits and vegetables;food;potentially serious;Withdrawal from the market;Distribution to other member countries;Arance;dimethoate  ;Pesticide residues;Italy;Malta;Italy
524;alert notification;2024-03-01;2024.148;Italy;Presence of Salmonella in frozen poultry minced meat from the Netherlands;poultry meat and poultry meat products;food;serious;Official detention;No distribution from notifying country;Carne macinata di pollo congelata/frozen poultry minced meat;Salmonella infantis ;Pathogenic micro-organisms;Netherlands;Italy;Italy
"525;information notification for attention;2024-02-29;2024.1473;Italy;Bovine and swine DNA detected in snacks from China via Hong Kong;prepared dishes and snacks;food;potential risk;Official detention;Distribution restricted to notifying country;Snacks;import  illegal,protein poultry ;Adulteration / fraud,Composition;China;Italy;Italy"
"526;alert notification;2024-02-29;2024.1468;Netherlands;Ochratoxine A in dried white mulberries  ;nuts, nut products and seeds;food;serious;Informing consignor;Distribution to other member countries;White mulberries;ochratoxin A  ;Mycotoxins;Turkey;Austria,Belgium,Bosnia and Herzegovina,Bulgaria,Czech Republic,Denmark,Estonia,France,Germany,Greece,Ireland,Italy,Latvia,Lithuania,Poland,Portugal,Romania,South Africa,Sweden,United Kingdom;Netherlands"
"527;information notification for attention;2024-02-29;2024.1461;Greece;acetamiprid and unauthorised substances chlorpyrifos, thiamethoxam and clothianidin in cumin seeds from India;herbs and spices;food;potentially serious;Withdrawal from the market;Product (presumably) no longer on the market;Cumin seeds;acetamiprid  ,chlorpyrifos  unauthorised substance,clothianidin  ,thiamethoxam  ;Pesticide residues;India;Greece;Greece"
528;border rejection notification;2024-02-29;2024.1456;Croatia;Pesticide residues of metalaxyl in pasteurized cucumbers from Serbia;fruits and vegetables;food;no risk;Return to consignor;Product allowed to travel to destination under customs seals;Product allowed to travel to destination under customs seals;metalaxyl  ;Pesticide residues;Serbia;Croatia;Croatia
"529;border rejection notification;2024-02-29;2024.1452;Germany;Aflatoxins in shelled peanuts from Egypt;nuts, nut products and seeds;food;serious;Official detention;Product not (yet) placed on the market;Shelled peanuts;Aflatoxin B1  ,aflatoxin total ;Mycotoxins;Egypt;Germany;Germany"
"530;alert notification;2024-02-28;2024.1438;Netherlands;pyrrolizidine alkaloids in unauthorised novel food Gokshura (Tribulus terrestris);dietetic foods, food supplements and fortified foods;food;potentially serious;Informing consignor;Information on distribution not (yet) available;Gokshura;pyrrolizidine alkaloids  ;Natural toxins (other);Netherlands;Belgium,Bulgaria,Cyprus,Italy,Netherlands,Spain;Netherlands"
531;alert notification;2024-02-28;2024.1436;Belgium;Pesticides residues in pineapple from Cameroon;fruits and vegetables;food;serious;Informing recipient(s);Product (presumably) no longer on the market;Chicken meat;ethephon  ;Pathogenic micro-organisms;Cameroon;France;Belgium
532;information notification for attention;2024-02-28;2024.1427;Poland;Chicken meat - salmonella Infantis;poultry meat and poultry meat products;food;potential risk;Informing recipient(s);Product (presumably) no longer on the market;Chicken meat;Salmonella infantis ;Pathogenic micro-organisms;Poland;Slovakia;Poland
"533;alert notification;2024-02-28;2024.1426;Spain;Sustancia no autorizada clorpirifÃ³s-etilo en manzanilla de Egipto//Unauthorized substance Chlorpyrifos-ethyl in chamomile from Egypt;herbs and spices;food;serious;Withdrawal from recipient(s);Information on distribution not (yet) available;Manzanilla infusión dulce;chlorpyriphos-ethyl  ;Pesticide residues;Egypt;Belgium,France,Germany,Ireland,Italy,Luxembourg,Netherlands,Portugal,Spain,United Kingdom;Spain"
"534;information notification for attention;2024-02-28;2024.1417;Germany;Chlorate in sesame from the United Arab Emirates;nuts, nut products and seeds;food;potentially serious;Withdrawal from the market;Distribution restricted to notifying country;Hulled sesame seeds;chlorate  unauthorised substance;Pesticide residues;United Arab Emirates;Germany;Germany"
"535;information notification for attention;2024-02-27;2024.1403;Germany;Salmonella in Helva with pistachios from Turkey;nuts, nut products and seeds;food;serious;Detained by operator;No distribution from notifying country;Helva mit Pistazien - helva with pistachios;Salmonella  ;Pathogenic micro-organisms;Turkey;Germany;Germany"
"536;alert notification;2024-02-27;2024.1402;Netherlands;Salmonella in beef products from Poland;meat and meat products (other than poultry);food;potentially serious;Withdrawal from recipient(s);Product (presumably) no longer on the market;Beef;Salmonella Enteritidis ;Pathogenic micro-organisms;Poland;Czech Republic,Denmark,France,Germany,Malta,Portugal,Spain,Sweden,United Kingdom;Netherlands"
"537;alert notification;2024-02-27;2024.1401;France;Plomb and phtaltes in pizza boxes from Italia;food contact materials;food contact material;serious;No stock left;No distribution from notifying country;Pizza box;lead  migration,phthalate DBP - dibutyl migration,phthalate DIBP - diisobutyl migration;Migration;Italy;France;France"
538;information notification for attention;2024-02-27;2024.1396;Italy;Presence of swine DNA in vegetarian soy-based steak from China via Hong Kong;prepared dishes and snacks;food;potential risk;Official detention;Distribution restricted to notifying country;Vegetarian soy-based steak;import  illegal;Adulteration / fraud;China;Italy;Italy
539;alert notification;2024-02-27;2024.1393;Belgium;Maximum levels exceeded for ragweed (Ambrosia spp.) seeds in sorghum from France;feed materials;feed;serious;Return to consignor;No distribution to other member countries;Sorghum;ragweed (Ambrosia spp.) seeds  too high content;Composition;France;Belgium;Belgium
"540;border rejection notification;2024-02-27;2024.1389;Germany;Excessive contents of aflatoxin B1 and total aflatoxin in pistachios from the United States of America, via Turkey;nuts, nut products and seeds;food;serious;Product under custom seals;Product allowed to travel to destination under customs seals;Pistachios;Aflatoxin B1  ,aflatoxin total ;Mycotoxins;United States;Germany;Germany"
"541;border rejection notification;2024-02-27;2024.1384;Finland;Pesticide residues (Deltamethrin) in Orange from Egypt.;fruits and vegetables;food;serious;Destruction;Information on distribution not (yet) available;Orange;deltamethrin  ;Pesticide residues;Egypt;Finland,Netherlands;Finland"
